"individual","KephLevel","RegulatoryBody","FacilityType","Owner"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14575","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14576","Level 2","Kenya MPDB - Private Practice","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14578","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14579","Level 4","Other","Primary care hospitals","Non-Governmental Organizations"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14580","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14581","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14582","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14584","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14585","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14586","Level 4","Ministry of Health","Secondary care hospitals","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14588","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14590","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14592","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14593","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14594","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14595","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14596","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14597","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14598","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14601","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Kenya Episcopal Conference-Catholic Secretariat"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14602","Level 2","Kenya MPDB - Institution","Basic primary health care facility","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14604","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14605","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14606","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14607","Level 4","Ministry of Health","Secondary care hospitals","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14608","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14609","Level 3","Ministry of Health","Secondary care hospitals","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14610","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14611","Level 3","Ministry of Health","Primary care hospitals","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14612","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14613","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14615","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14617","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14618","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14619","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14620","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14621","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14622","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14623","Level 3","Ministry of Health","Secondary care hospitals","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14624","Level 3","Kenya MPDB - Institution","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14625","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14626","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14627","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14628","Level 3","Kenya MPDB - Institution","Basic primary health care facility","Christian Health Association of Kenya"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14629","Level 2","Kenya MPDB - Private Practice","Dispensaries and clinic-out patient only","Company Medical Service"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14630","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14632","Level 2","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14634","Level 4","Ministry of Health","Secondary care hospitals","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14636","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14637","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14638","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Christian Health Association of Kenya"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14639","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14640","Level 2","Kenya MPDB - Institution","Basic primary health care facility","Other Faith Based"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14641","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14642","Level 2","Kenya MPDB - Institution","Basic primary health care facility","Christian Health Association of Kenya"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14643","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14644","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Company Medical Service"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14645","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14646","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14647","Level 2","Other","Dispensaries and clinic-out patient only","Company Medical Service"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14649","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14650","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Christian Health Association of Kenya"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14651","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Other Faith Based"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14652","Level 4","Ministry of Health","Secondary care hospitals","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14653","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14654","Level 2","Clinical Officers Council","Dispensaries and clinic-out patient only","Private Practice - Clinical Officer"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14655","Level 4","Kenya MPDB - Institution","Primary care hospitals","Kenya Episcopal Conference-Catholic Secretariat"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14656","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14657","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14659","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14660","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14661","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Kenya Episcopal Conference-Catholic Secretariat"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14662","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Kenya Episcopal Conference-Catholic Secretariat"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14663","Level 3","Kenya MPDB - Institution","Basic primary health care facility","Christian Health Association of Kenya"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14664","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14665","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14666","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14667","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14668","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14670","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14671","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14672","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14673","Level 2","Kenya MPDB - Private Practice","Dispensaries and clinic-out patient only","Company Medical Service"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14674","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14675","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14676","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14677","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14679","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14681","Level 3","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14682","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14683","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14684","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14685","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Christian Health Association of Kenya"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14686","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14687","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14689","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14690","Level 2","Other","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14691","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14692","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14693","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14694","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14695","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14696","Level 2","Kenya MPDB - Private Practice","Dispensaries and clinic-out patient only","Company Medical Service"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14697","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14699","Level 4","Ministry of Health","Primary care hospitals","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14700","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Kenya Episcopal Conference-Catholic Secretariat"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14701","Level 4","Ministry of Health","Secondary care hospitals","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14702","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14704","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14705","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14706","Level 4","Ministry of Health","Secondary care hospitals","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14707","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14708","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14709","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14710","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14711","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14714","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14715","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14716","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14717","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14718","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14719","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Other Faith Based"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14720","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14722","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Other Faith Based"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14723","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14724","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14725","Level 2","Other","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14726","Level 2","Other","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14728","Level 4","Ministry of Health","Primary care hospitals","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14729","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14733","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14734","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14735","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14736","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14737","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14738","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14739","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14740","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Kenya Episcopal Conference-Catholic Secretariat"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14741","Level 4","Ministry of Health","Primary care hospitals","Kenya Episcopal Conference-Catholic Secretariat"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14742","Level 2","Nursing Council of Kenya (Private Practice)","Dispensaries and clinic-out patient only","Private Practice - General Practitioner"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14744","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14746","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Kenya Episcopal Conference-Catholic Secretariat"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14747","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14748","Level 2","Kenya MPDB - Private Practice","Dispensaries and clinic-out patient only","Company Medical Service"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14749","Level 4","Ministry of Health","Secondary care hospitals","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14751","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14753","Level 4","Ministry of Health","Secondary care hospitals","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14754","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14755","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14756","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14757","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14758","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14759","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14760","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14761","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14763","Level 2","Kenya MPDB - Private Practice","Dispensaries and clinic-out patient only","Company Medical Service"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14764","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14765","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14766","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14767","Level 4","Kenya MPDB - Institution","Primary care hospitals","Christian Health Association of Kenya"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14768","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14769","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14770","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Private Enterprise (Institution)"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14771","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14772","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14773","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14776","Level 4","Ministry of Health","Primary care hospitals","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14777","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14778","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14779","Level 2","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14780","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14781","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14782","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14784","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14785","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14787","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14788","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14789","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14790","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14791","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14792","Level 4","Ministry of Health","Primary care hospitals","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14793","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14795","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14796","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14797","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14798","Level 3","Ministry of Health","Basic primary health care facility","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14799","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14800","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14801","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14804","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14805","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14807","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14809","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14810","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14811","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14812","Level 2","Ministry of Health","Dispensaries and clinic-out patient only","Ministry of Health"
"http://www.semanticweb.org/ontologies/Kenya-health-facilities#14814","Level 2","Kenya MPDB - Institution","Dispensaries and clinic-out patient only","Kenya Episcopal Conference-Catholic Secretariat"
